"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000324600227446194,0.446570947309316,0.159,0.114,1,"1","Hexa"
0.00033213726848716,0.414695454388288,0.122,0.083,1,"1","Aif1"
0.000345279645240133,0.399201756481005,0.279,0.226,1,"1","Lman2"
0.000368254712071994,0.42912632268379,0.269,0.215,1,"1","Cct7"
0.000389269885471365,0.344901189759048,0.308,0.251,1,"1","Trir"
0.000407421890761245,0.385496437363113,0.149,0.107,1,"1","Timp2"
0.000501927184222294,0.320879934802862,0.336,0.278,1,"1","Dnajb11"
0.000510030335876614,0.619742419772282,0.104,0.07,1,"1","Znhit3"
0.000546558964432587,0.519439559263172,0.105,0.071,1,"1","C1s1"
0.000707828060463344,0.318461937405212,0.369,0.316,1,"1","H1f0"
0.000748811642509814,0.383223581373698,0.177,0.133,1,"1","Ppp1cc"
0.000903595588435901,0.277210093624119,0.255,0.203,1,"1","Mcl1"
0.000939265538485134,0.327835011507166,0.334,0.283,1,"1","Cnpy2"
0.00102743150880431,0.281427651805457,0.11,0.075,1,"1","Ptprc"
0.00104058095265866,0.420716548408165,0.248,0.2,1,"1","Kdelr2"
0.0010693311070041,0.455154132652607,0.147,0.108,1,"1","Mdp1"
0.00110590818658155,0.256751913445683,0.209,0.163,1,"1","Atp6v1g1"
0.00110731726170449,0.416906516281212,0.233,0.187,1,"1","Sdf4"
0.00126356339464157,0.283908451900296,0.414,0.362,1,"1","Cycs"
0.00127522421591076,0.26766717635853,0.271,0.219,1,"1","Ctsz"
0.00133947835985509,0.301405638265241,0.322,0.27,1,"1","Mrpl53"
0.00135731824138265,0.458320269116128,0.128,0.093,1,"1","Ostm1"
0.00137261997482232,0.443863122893856,0.118,0.084,1,"1","Ppp2r5a"
0.00144053607928042,0.323281040917416,0.278,0.228,1,"1","Ddb1"
0.00149862483570745,0.292837999972548,0.332,0.28,1,"1","Grn"
0.0015284987645887,0.466334202130745,0.106,0.074,1,"1","Arfgap2"
0.00155217350691671,0.477860455511773,0.102,0.07,1,"1","Il10rb"
0.00165771746102807,0.278592923754405,0.192,0.148,1,"1","Ctsa"
0.00176244243502529,0.254349882566639,0.372,0.319,1,"1","Tmem214"
0.00177710280511914,0.387778409432204,0.191,0.15,1,"1","Cirbp"
0.00182755768936034,0.41778263491653,0.13,0.094,1,"1","Ppp6r3"
0.00186320403922346,0.405910613632758,0.227,0.184,1,"1","Emc7"
0.00190217660669366,0.304108363770425,0.444,0.401,1,"1","Edem2"
0.00193851803186593,0.348524661224484,0.264,0.218,1,"1","Commd3"
0.00196216157903798,0.344030250209427,0.256,0.21,1,"1","Dnajb9"
0.00199848785716142,0.491732630093331,0.119,0.086,1,"1","Cyth1"
0.00206277717383417,0.294643665977651,0.183,0.141,1,"1","Ly6e"
0.00215669741902489,0.293435884374346,0.127,0.092,1,"1","Wfdc17"
0.00226110753827296,0.426330154871691,0.113,0.081,1,"1","Cxcl14"
0.00229857186118126,0.302047818985091,0.28,0.233,1,"1","Kcmf1"
0.00230298866171202,0.486230860497654,0.116,0.084,1,"1","Creb3l2"
0.00237864745698578,0.392754627612711,0.185,0.145,1,"1","Wbp1"
0.00254713437142901,0.389229156239443,0.1,0.07,1,"1","Rab4b"
0.00259550954130536,0.31333544181205,0.218,0.174,1,"1","Ube2d2a"
0.00259899389722996,0.27193579357717,0.333,0.285,1,"1","Ergic1"
0.00321734455466052,0.431499786861522,0.113,0.082,1,"1","Eif3j2"
0.0032696793334445,0.346615922233521,0.135,0.101,1,"1","Calu"
0.00333188027884426,0.335323148122224,0.245,0.203,1,"1","Dhrs3"
0.0033946408036754,0.282997552319558,0.274,0.229,1,"1","Ypel3"
0.00343050123925101,0.256677334364228,0.123,0.09,1,"1","Psmb9"
0.00352827654054053,0.276701868614544,0.462,0.413,1,"1","Ddost"
0.00379057718021489,0.2940918039314,0.169,0.131,1,"1","Tardbp"
0.0037953195358518,0.370093852903754,0.14,0.106,1,"1","Snx5"
0.00383078516323847,0.497870416243268,0.105,0.076,1,"1","Tmem70"
0.00398438993633649,0.387094991588591,0.115,0.084,1,"1","Ncbp2"
0.00403547174456744,0.271523629591178,0.235,0.192,1,"1","Tvp23b"
0.0041720874428414,0.308827934791327,0.154,0.118,1,"1","Psmc5"
0.00443207494308504,0.313923710788579,0.262,0.22,1,"1","Dpp3"
0.00443390470324083,0.25402749981611,0.236,0.192,1,"1","Mcrip1"
0.00444164341687122,0.369259969377791,0.155,0.12,1,"1","Ciapin1"
0.00451457501348322,0.314090769140223,0.234,0.192,1,"1","Sdf2l1"
0.00462376081130139,0.49752748896785,0.1,0.072,1,"1","Ndst1"
0.00478297831001688,0.315671102849066,0.205,0.165,1,"1","Slc1a5"
0.00489922898499762,0.256461027445802,0.289,0.243,1,"1","Txn2"
0.00498156108950439,0.407768559853341,0.134,0.102,1,"1","Cog8"
0.0049832774732318,0.456747468358574,0.115,0.085,1,"1","Oip5os1"
0.00518604936638289,0.362383238091837,0.179,0.143,1,"1","Spop"
0.00529983835053636,0.371438396375618,0.191,0.154,1,"1","Mtch2"
0.0053077740397535,0.327300778936392,0.1,0.072,1,"1","Ier5"
0.00538822624418967,0.355003707726239,0.144,0.11,1,"1","Dlgap4"
0.00546496761390087,0.397748698187132,0.119,0.089,1,"1","Sh2b1"
0.00579366073679881,0.259413676519908,0.216,0.176,1,"1","Ptpn18"
0.00593064152497722,0.559258877376557,0.102,0.075,1,"1","Kcnn4"
0.00595106544425183,0.330706761728119,0.16,0.125,1,"1","Tmem179b"
0.00599928306105889,0.343629878477529,0.133,0.101,1,"1","Aars"
0.00600304283009786,0.471184390655951,0.103,0.075,1,"1","Kmt2c"
0.00601316471436358,0.292208580990343,0.145,0.111,1,"1","Sp100"
0.0060496954580065,0.348371559859231,0.101,0.073,1,"1","Ttc13"
0.00607491235185858,0.457822702275227,0.122,0.092,1,"1","Tor1aip2"
0.00688845521977733,0.445438977819395,0.108,0.08,1,"1","Usp4"
0.00691874047537713,0.25251270018,0.172,0.136,1,"1","Vars"
0.00748409534679932,0.263715186254346,0.223,0.183,1,"1","Dctn2"
0.00750796285221874,0.396000045084891,0.108,0.08,1,"1","Clk2"
0.0075157850174,0.260514707637868,0.3,0.258,1,"1","Eif3k"
0.00767868328535893,0.318526865337176,0.227,0.189,1,"1","Pdhx"
0.00777454161477569,0.307685658373072,0.141,0.109,1,"1","Pld4"
0.00793408906318422,0.35852583939182,0.181,0.146,1,"1","Dynlt3"
0.00814086025934015,0.422339294675656,0.102,0.075,1,"1","Rab3gap1"
0.00832300245417489,0.300118774079269,0.235,0.197,1,"1","Mvb12a"
0.00842025383802641,0.25578563352518,0.181,0.145,1,"1","Tbc1d20"
0.00857343971852116,0.442841866333356,0.113,0.086,1,"1","Smg5"
0.00901900756541923,0.333197713249718,0.211,0.175,1,"1","Yeats4"
0.00911457238862656,0.401610476199133,0.132,0.102,1,"1","Stat2"
0.00915295175731512,0.341217618307689,0.102,0.075,1,"1","Gusb"
0.00984224491697579,0.253073519034942,0.15,0.118,1,"1","Gnai2"
1.24445911563088e-201,2.91374575020144,0.92,0.57,1.79538116612067e-197,"2","Cd74"
1.40079817351446e-175,2.32146036041343,0.813,0.371,2.02093152492931e-171,"2","H2-Eb1"
2.9104142541152e-175,2.31845809308034,0.82,0.386,4.198854644412e-171,"2","H2-Ab1"
5.70745565774987e-168,2.56532690988094,0.797,0.37,8.23414627743574e-164,"2","Lyz2"
3.99202936501925e-165,2.15916227609926,0.887,0.533,5.75930076491326e-161,"2","H2-K1"
4.99809809089901e-162,2.43382023530862,0.753,0.336,7.21075611574e-158,"2","H2-Aa"
9.14775802577904e-147,1.80719508554182,0.912,0.617,1.31974705037914e-142,"2","H2-D1"
7.73298894878524e-141,1.09581037984373,0.999,0.993,1.11563831564125e-136,"2","Rps27a"
3.05346425034533e-135,1.7814287959632,0.917,0.628,4.40523287397321e-131,"2","Apoe"
1.64053625760802e-131,1.66528734830169,0.857,0.543,2.36680165885109e-127,"2","Cst3"
5.13355396399282e-125,2.85844203919797,0.598,0.235,7.40617830385244e-121,"2","Tmsb10"
2.34484376013509e-121,3.63178352870742,0.496,0.159,3.3829060927469e-117,"2","Ccl5"
